,IDX_NM,IDX_ENG_NM,BAS_TM_CONTN,ANNC_TM_CONTN,BAS_IDX_CONTN,CALC_CYCLE_CONTN,CALC_TM_CONTN,COMPST_ISU_CNT,IND_TP_CD,IDX_IND_CD
0,KRX 300,KRX 300,2010.01.04,2018.02.05,"1,000.00",1초,09:00:30 ~ 15:30:00,299,5,300
1,KTOP 30,KTOP 30,1996.01.03,2015.07.13,888.85,2초,09:00:30 ~ 15:30:00,30,5,600
2,KRX 100,KRX 100,2001.01.02,2005.06.01,"1,000.00",1초,09:00:30 ~ 15:30:00,100,5,042
3,KRX 자동차,KRX Autos,2006.01.02,2006.01.23,"1,000.00",2초,09:00:30 ~ 15:30:00,20,5,043
4,KRX 반도체,KRX Semicon,2006.01.02,2006.01.23,"1,000.00",2초,09:00:30 ~ 15:30:00,50,5,044
5,KRX 헬스케어,KRX Health Care,2006.01.02,2006.01.23,"1,000.00",2초,09:00:30 ~ 15:30:00,75,5,045
6,KRX 은행,KRX Banks,2006.01.02,2006.01.23,"1,000.00",2초,09:00:30 ~ 15:30:00,10,5,046
7,KRX 에너지화학,KRX Energy & Chemicals,2007.01.02,2007.08.06,"1,000.00",2초,09:00:30 ~ 15:30:00,37,5,048
8,KRX 철강,KRX Steels,2007.01.02,2007.08.06,"1,000.00",2초,09:00:30 ~ 15:30:00,20,5,049
9,KRX 방송통신,KRX Media & Telecom,2007.01.02,2007.08.06,"1,000.00",2초,09:00:30 ~ 15:30:00,9,5,051
10,KRX 건설,KRX Constructions,2007.01.02,2007.08.06,"1,000.00",2초,09:00:30 ~ 15:30:00,27,5,052
11,KRX 증권,KRX Securities,2006.01.02,2008.05.26,"1,000.00",2초,09:00:30 ~ 15:30:00,11,5,054
12,KRX 기계장비,KRX Machinery & Equipment,2006.01.02,2008.05.26,"1,000.00",2초,09:00:30 ~ 15:30:00,29,5,055
13,KRX 보험,KRX Insurance,2009.01.02,2010.01.18,"1,000.00",2초,09:00:30 ~ 15:30:00,10,5,056
14,KRX 운송,KRX Transportation,2009.01.02,2010.01.18,"1,000.00",2초,09:00:30 ~ 15:30:00,16,5,057
15,KRX 경기소비재,KRX Consumer Discretionary,2010.01.04,2016.09.12,"1,000.00",2초,09:00:30 ~ 15:30:00,37,5,061
16,KRX 필수소비재,KRX Consumer Staples,2010.01.04,2016.09.12,"1,000.00",2초,09:00:30 ~ 15:30:00,32,5,062
17,KRX 미디어&엔터테인먼트,KRX Media&Entertainment,2010.01.04,2016.09.12,"1,000.00",2초,09:00:30 ~ 15:30:00,26,5,063
18,KRX 정보기술,KRX IT,2010.01.04,2016.09.12,"1,000.00",2초,09:00:30 ~ 15:30:00,51,5,064
19,KRX 유틸리티,KRX Utilities,2010.01.04,2016.09.12,"1,000.00",2초,09:00:30 ~ 15:30:00,10,5,065
20,KRX 300 정보기술,KRX 300 IT,2010.01.04,2018.08.20,"1,000.00",1초,09:00:30 ~ 15:30:00,47,5,351
21,KRX 300 금융,KRX 300 Financials,2010.01.04,2018.08.20,"1,000.00",1초,09:00:30 ~ 15:30:00,24,5,352
22,KRX 300 자유소비재,KRX 300 Consumer Discretionary,2010.01.04,2018.08.20,"1,000.00",1초,09:00:30 ~ 15:30:00,34,5,353
23,KRX 300 산업재,KRX 300 Industrials,2010.01.04,2018.08.20,"1,000.00",1초,09:00:30 ~ 15:30:00,64,5,354
24,KRX 300 헬스케어,KRX 300 Health Care,2010.01.04,2018.08.20,"1,000.00",1초,09:00:30 ~ 15:30:00,39,5,355
25,KRX 300 커뮤니케이션서비스,KRX 300 Communication Service,2010.01.04,2019.03.18,"1,000.00",1초,09:00:30 ~ 15:30:00,22,5,356
26,KRX 300 소재,KRX 300 Materials,2010.01.04,2019.03.18,"1,000.00",1초,09:00:30 ~ 15:30:00,43,5,357
27,KRX 300 필수소비재,KRX 300 Consumer Staple,2010.01.04,2019.03.18,"1,000.00",1초,09:00:30 ~ 15:30:00,20,5,358
